"Estimate","Std. Error","df","t value","Pr(>|t|)","term","CI_lower","CI_upper"
2.83647083629527,0.663132184074648,519.85015828728,4.27738376211277,2.25101986417467e-05,"(Intercept)",1.53675563851958,4.13618603407097
0.00087364625112868,0.00490953798364611,7670.9339392939,0.177948771155012,0.858767906944622,"modeldeepseekv31671b",-0.00874887137754909,0.0104961638798064
-0.044729868172436,0.00490953798364611,7670.93393884168,-9.11081008466238,1.02739615620336e-19,"modelgpt5nano",-0.0543523858011137,-0.0351073505437582
-0.24535129251235,0.0049095379836461,7670.93393675397,-49.9744157860937,0,"modelllama33b",-0.254973810141028,-0.235728774883673
-0.0232434432950661,0.00490953798364611,7670.93393871818,-4.73434432577791,2.23705881856444e-06,"modelclaudesonnet45",-0.0328659609237438,-0.0136209256663883
-0.0985020061624871,0.00490953798364612,7670.93393848226,-20.063396289142,2.60257645075866e-87,"modelqwen3",-0.108124523791165,-0.0888794885338093
0.0409663137048433,0.00490953798364611,7670.93393311691,8.34422991354869,8.42455177125242e-17,"conditionmtp",0.0313437960761656,0.0505888313335211
0.0443723370017523,0.00490953798364608,7670.93393519031,9.03798629312143,1.99092055014169e-19,"conditionensemble_mtp",0.0347498193730746,0.05399485463043
-0.014926694233538,0.00388214108317387,520.189217757652,-3.84496439303401,0.000135507064690032,"z_log_char_length",-0.0225355509394621,-0.00731783752761392
-0.00407732656856897,0.00403532230768113,519.848443746924,-1.01040914645353,0.312769363297116,"z_fog",-0.011986412957635,0.0038317598204971
-0.00224700228054742,0.00391692019644575,520.037676594683,-0.573665575976344,0.566442131323313,"z_mtld",-0.00992402479589864,0.00543002023480379
-0.014660005203777,0.011724537497767,519.402474810857,-1.25036959509653,0.211727578349487,"regionAsia",-0.0376396764347898,0.00831966602723573
-0.0600583522933861,0.0384628423825814,521.050288277406,-1.56146422295053,0.119021390613107,"regionAustralia",-0.135444138106286,0.0153274335195143
-0.00137588898227359,0.0207780209795042,519.621738901523,-0.0662184807509238,0.947229352732696,"regionEurope",-0.0421000617721194,0.0393482838075722
-0.00107345598910105,0.0142393834376503,520.459859895962,-0.0753864093765977,0.939936239484084,"regionM.America&Carib",-0.0289821346889517,0.0268352227107496
0.0270510072204916,0.0262545309583033,520.22857622854,1.03033671648727,0.303330745850402,"regionMid.East",-0.0244069278887747,0.0785089423297578
-0.0295187703535129,0.016199766507442,519.476671672713,-1.82217258131173,0.0690036152170175,"regionN. America",-0.0612697292660574,0.00223218855903163
-0.0429744159707818,0.0144596263681607,519.935568023314,-2.97202810616249,0.00309542032685993,"regionOceania",-0.0713147628822824,-0.0146340690592812
-0.0042726723484804,0.0147439471660783,519.014650256363,-0.289791620951453,0.77209139209729,"regionS. America",-0.0331702777839552,0.0246249330869944
-0.00126801412337454,0.00412179081351629,519.855307775717,-0.307636699857847,0.758482000521825,"z_year",-0.00934657566967452,0.00681054742292544
-2.70154719864681,0.73790070987271,519.821578187384,-3.66112562639062,0.00027679340956745,"prop_binary",-4.14780601416386,-1.25528838312976
-0.0239504877193351,0.00640319835337091,519.729570621553,-3.74039447126085,0.000204169949636203,"z_avg_feat_desc_length",-0.0365005258778083,-0.011400449560862
0.000346937885809566,0.00694313520145819,7670.93393768734,0.0499684761628584,0.960148810258369,"modeldeepseekv31671b:conditionmtp",-0.0132613570488407,0.0139552328204599
0.0123849468581222,0.00694313520145819,7670.9339373263,1.78376864323787,0.0745007866270667,"modelgpt5nano:conditionmtp",-0.00122334807652811,0.0259932417927725
0.0370814690257841,0.00694313520145818,7670.93393672684,5.3407384344174,9.52239635044706e-08,"modelllama33b:conditionmtp",0.0234731740911338,0.0506897639604344
0.0257628547676783,0.00694313520145819,7670.93393721917,3.71055064033142,0.000208271435663214,"modelclaudesonnet45:conditionmtp",0.012154559833028,0.0393711497023286
-0.0499441711078723,0.00694313520145819,7670.9339367991,-7.19331680267194,6.920512360374e-13,"modelqwen3:conditionmtp",-0.0635524660425226,-0.036335876173222
0.0040548188700775,0.0071627596600172,7673.73247932371,0.566097295252227,0.571344195528977,"modeldeepseekv31671b:conditionensemble_mtp",-0.00998393209347257,0.0180935698336276
0.0283406572008996,0.00694313520145816,7670.93393832838,4.08182418728468,4.5137052225474e-05,"modelllama33b:conditionensemble_mtp",0.0147323622662494,0.0419489521355499
-0.0572875688311187,0.00763262309485448,7678.43508479784,-7.50562003641173,6.80057900578848e-14,"modelqwen3:conditionensemble_mtp",-0.0722472352046022,-0.0423279024576353
