"npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
3,-9940.8055877898,-9919.76224638435,4973.4027938949,-9946.8055877898,NA,NA,NA
18,-16521.9769752696,-16395.7169268368,8278.98848763478,-16557.9769752696,6611.17138747975,15,0
30,-16532.7100718221,-16322.2766577676,8296.35503591106,-16592.7100718221,34.7330965525689,12,0.000516395285188406
32,-16544.3076092477,-16319.8453009228,8304.15380462384,-16608.3076092477,15.597537425565,2,0.000410239791142581
