"Model","AIC","BIC"
"M0_RandomOnly",-9931.58086156191,-9910.53752015645
"M1_Model",-16373.9618130351,-16247.7017646024
"M2_Model_Text",-16296.4908044101,-16086.0573903556
"M3_Model_Text_Task",-16299.7247875314,-16075.2624792065
