feature_label,mean_llm_llm_kappa,min_llm_llm_kappa,max_llm_llm_kappa,human_human_kappa,n_pairs,llm_vs_human_diff
Synchronous Chanting,0.23018900571982098,-0.008981813315092164,0.6078927569933655,0.46441029508814935,21,-0.23422128936832837
Synchronous Dancing,0.34559121995022735,-0.026237150649168955,0.7733168449009991,0.7919979068971763,21,-0.44640668694694896
Synchronous Generic Movement,0.14930892263801568,-0.0010529348074420836,0.5001851166234728,0.24794877570063395,21,-0.09863985306261827
Synchronous Marching,0.2392810918185636,-0.0011353026851402012,0.5892395740262248,0.36708860759493595,21,-0.12780751577637234
Synchronous Praying,0.16213530040738064,-0.004941136380232236,0.5343527749946618,0.6473747016706443,21,-0.4852394012632636
Synchronous Singing,0.27082108761584095,-0.002666789701946992,0.710004351549011,0.919684443041969,21,-0.648863355426128
