name1,name2,false_positive_rate,false_negative_rate,both_present,both_absent,disagree_fp,disagree_fn,feature,comparison_type,annotator,feature_label,fp_fn_ratio
Ground Truth,perplexity,0.23796791443850268,0.5401069518716578,86,285,89,101,singing,LLM-Human,perplexity,Synchronous Singing,0.44059405940594054
Ground Truth,perplexity,0.3624161073825503,0.5688073394495413,47,285,162,62,chanting,LLM-Human,perplexity,Synchronous Chanting,0.6371508984628707
Ground Truth,perplexity,0.18736842105263157,0.6266666666666667,28,386,89,47,praying,LLM-Human,perplexity,Synchronous Praying,0.2989921612541993
Ground Truth,perplexity,0.13295880149812733,0.6,10,463,71,15,marching,LLM-Human,perplexity,Synchronous Marching,0.2215980024968789
Ground Truth,perplexity,0.24274406332453827,0.5444444444444444,82,287,92,98,dancing,LLM-Human,perplexity,Synchronous Dancing,0.4458564428409887
Ground Truth,perplexity,0.3488372093023256,0.6046511627906976,51,280,150,78,generic_mvmt,LLM-Human,perplexity,Synchronous Generic Movement,0.576923076923077
Ground Truth,qwen3,0.1693121693121693,0.39572192513368987,113,314,64,74,singing,LLM-Human,qwen3,Synchronous Singing,0.4278564278564278
Ground Truth,qwen3,0.31042128603104213,0.3944954128440367,66,311,140,43,chanting,LLM-Human,qwen3,Synchronous Chanting,0.7868818645903161
Ground Truth,qwen3,0.4154488517745303,0.22666666666666666,58,280,199,17,praying,LLM-Human,qwen3,Synchronous Praying,1.832862581358222
Ground Truth,qwen3,0.2523191094619666,0.2,20,403,136,5,marching,LLM-Human,qwen3,Synchronous Marching,1.261595547309833
Ground Truth,qwen3,0.13123359580052493,0.25274725274725274,136,331,50,46,dancing,LLM-Human,qwen3,Synchronous Dancing,0.5192285746890335
Ground Truth,qwen3,0.5944700460829493,0.2558139534883721,96,176,258,33,generic_mvmt,LLM-Human,qwen3,Synchronous Generic Movement,2.3238374528697108
