F1_se,Precision_se,Recall_se,F1,Precision,Recall,ModelBase,Condition
0.07692833371087336,0.10167991074047689,0.08807156921821283,0.4504448333029665,0.5638066866418011,0.4511488606814644,claudesonnet45,mtp
0.0910724908747307,0.10572321731800893,0.037472318175498905,0.5119220975987809,0.43468029405332786,0.7444484580120695,claudesonnet45,baseline
0.0872881916088861,0.09748074342613519,0.10931183373658135,0.31010957230526903,0.4713199168556311,0.29898477648223504,deepseekv31671b,ensemble_mtp
0.05029155196210922,0.09813526685166855,0.05444491449124839,0.3349820185316341,0.6178081928081928,0.26254536097430714,deepseekv31671b,baseline
0.07255840428463026,0.10490519471439737,0.09995596513786724,0.2910338357826072,0.46998125663256196,0.29464198748828324,deepseekv31671b,mtp
0.0704582945627336,0.11074694885937802,0.04225548386559972,0.5377358901017578,0.5688955340604115,0.56119038405839194,gpt5nano,mtp
0.05333252513296596,0.10071299578574619,0.046913485281169516,0.49094912255076606,0.4731694274932653,0.6253088896514392,gpt5nano,baseline
0.0912785876508833,0.09773635446482008,0.09980045561074037,0.5331841261019198,0.6731531267060145,0.5044224908740026,gptoss120b,ensemble_mtp
0.07773521463816001,0.10436948340673813,0.07610057463589623,0.5115618234978077,0.5233963452498441,0.5440841189068452,gptoss120b,baseline
0.08426908953603915,0.09853290544180617,0.09078892944344455,0.5447943650707512,0.6624031721843369,0.5190517372897925,gptoss120b,mtp
0.06503332976974704,0.09358532950338773,0.14963805160311217,0.2571016547659039,0.2970086055646378,0.43499591132618654,llama33b,ensemble_mtp
0.0630800899887607,0.044671565672905755,0.00527144531366869,0.33392678832259426,0.2098498557565839,0.9874262202305978,llama33b,baseline
0.06383096206651445,0.09379456244769517,0.14824497957704016,0.250787488368922,0.29244824280830917,0.42542833384523165,llama33b,mtp
0.049560464442725154,0.06757468635171489,0.03881643939931467,0.29515059560452644,0.3060534292068271,0.32027767688895464,perplexity,mtp
0.04530447842785822,0.06016848001722176,0.014332644593176451,0.3372415438370796,0.3006796157905102,0.41922057246283206,perplexity,baseline
0.07525225933811053,0.09644880472821361,0.051081027541109575,0.459893940326671,0.3766452442126457,0.7734934767969821,qwen3,ensemble_mtp
0.07718063494108345,0.09874434048810317,0.0349898432136375,0.45782746135987107,0.3858436211741279,0.7124257981866636,qwen3,baseline
0.07494475965603245,0.09634581546720412,0.05157873859618403,0.4616817646451199,0.3783180426395475,0.7750225287847496,qwen3,mtp
