cert_bin,n,pct,accuracy
10-50%,9998,4.660442177980599,68.2704811443433
51-60%,10432,4.862745829235209,64.76510067114094
61-70%,10405,4.8501601182124565,65.24079592425261
71-80%,11637,5.424441450806185,67.78685002148688
81-90%,20964,9.772105402999129,76.0280507585154
91-100%,151093,70.43010502076642,80.93737796281465
