model,n,mean_certainty,accuracy,r
GPT-OSS 120B,64798,96.2417049908935,0.8221848376342759,0.35969637026595275
DeepSeek V3.1,52585,91.27964248359808,0.8384747052111069,0.22969173272445412
Qwen 3 Instruct,32348,99.4868307159638,0.6656566905763047,0.07551040372619097
Llama 3.2 Instruct,64798,84.3961233371368,0.7344116557599704,-0.014633976082824192
