feature,n,raw_agreement,cohen_kappa,positive_agreement,negative_agreement,prevalence_c1,prevalence_c2,prevalence_diff,both_present,both_absent,c1_only,c2_only,feature_label
singing,606,0.9653465346534653,0.919684443041969,0.9448818897637795,0.9747292418772563,0.32838283828382836,0.30033003300330036,0.028052805280528004,180,405,19,2,Synchronous Singing
chanting,598,0.8411371237458194,0.46441029508814935,0.5581395348837209,0.9031600407747197,0.20903010033444816,0.1505016722408027,0.058528428093645474,60,443,65,30,Synchronous Chanting
praying,591,0.9323181049069373,0.6473747016706443,0.6825396825396826,0.9621212121212122,0.13367174280879865,0.07952622673434856,0.05414551607445009,43,508,36,4,Synchronous Praying
marching,600,0.935,0.36708860759493595,0.4,0.9656387665198238,0.065,0.043333333333333335,0.021666666666666667,13,548,26,13,Synchronous Marching
dancing,585,0.9094017094017094,0.7919979068971763,0.8579088471849866,0.9335006273525721,0.3435897435897436,0.294017094017094,0.04957264957264956,160,372,41,12,Synchronous Dancing
generic_mvmt,588,0.7295918367346939,0.24794877570063395,0.4044943820224719,0.8250825082508251,0.2925170068027211,0.16156462585034015,0.13095238095238093,54,375,118,41,Synchronous Generic Movement
