Metric,Value
Total rituals,669
Excluded rituals,102
Included rituals,567
Unique cultures,73
Mean word count,1147
SD word count,1324.8
Median word count,653
Min word count,43
Max word count,8924
Mean character length,6458.7
SD character length,7415.9
Median character length,3669
Min character length,265
Max character length,49611
