Metric,Value
Gunning Fog Mean,11.96970831009472
Gunning Fog SD,2.1386043841179374
Gunning Fog Median,11.944444444444445
Gunning Fog Min,6.372966781214204
Gunning Fog Max,19.944615384615386
MTLD Mean,65.8131217800728
MTLD SD,16.738140257961923
MTLD Median,64.93650782624803
MTLD Min,22.51130225457962
MTLD Max,134.82673020020752
