"Model","AIC","BIC","Stratum"
"M0_RandomOnly",153532.860977064,153562.317019251,"Positive"
"M1_Model",149499.254597238,149675.990850359,"Positive"
"M2_Model_Text",149479.633823731,149774.194245598,"Positive"
"M3_Model_Text_Task",149435.268780198,149759.285244253,"Positive"
