"Model","R2_marginal","R2_conditional","Stratum"
"M1_Model",0.249352627933896,0.551790737295477,"Negative"
"M2_Model_Text",0.292750167394708,0.552017260568522,"Negative"
"M3_Model_Text_Task",0.347814686634976,0.523747358083528,"Negative"
