"Estimate","Std. Error","z value","Pr(>|z|)","term","Stratum","OR","CI_lower","CI_upper","OR_lower","OR_upper"
1.46708860260397,0.1233345331539,11.8951972743376,1.25356459296971e-32,"(Intercept)","Negative",4.33659120389227,1.22535735957226,1.70881984563567,3.40538281151795,5.52244029836193
0.376301585433776,0.0202269883542035,18.6039354373571,2.98563388732317e-77,"modeldeepseekv31671b","Negative",1.45688644325304,0.336657416743826,0.415945754123726,1.40025927617731,1.51580364054357
-0.501146566109587,0.0180269911239687,-27.799789918533,4.36315947918741e-170,"modelgpt5nano","Negative",0.605835630738256,-0.536478819462189,-0.465814312756985,0.584803831086694,0.627623814963704
-4.95352187567984,0.0225601199891748,-219.569837308345,0,"modelllama33b","Negative",0.00705850592180288,-4.99773889834553,-4.90930485301416,0.00675319941933089,0.00737761507612384
-0.210271603607771,0.018514906073417,-11.356882004909,6.85476967409067e-30,"modelclaudesonnet45","Negative",0.810364118259673,-0.24656015268881,-0.173983054526732,0.781484351738116,0.840311137007694
-1.03945949022346,0.017468878533874,-59.5035043725238,0,"modelqwen3","Negative",0.353645779310283,-1.07369786300016,-1.00522111744676,0.341742461207306,0.365963704896803
0.355001924457971,0.0197352177827964,17.9882445871681,2.40867855331434e-72,"conditionmtp","Negative",1.42618339890885,0.316321608376635,0.393682240539306,1.3720714543487,1.48242941785325
0.363115073483478,0.0197708166079094,18.3662152497136,2.4490582610321e-75,"conditionensemble_mtp","Negative",1.43780130252639,0.324364984987029,0.401865161979926,1.38315204473416,1.49460978886375
-0.541695294284086,0.0179994683648842,-30.095071882284,5.62096776235845e-199,"z_log_char_length","Negative",0.581761159535513,-0.576973604020128,-0.506416984548045,0.561595407394608,0.602651022938821
0.0295446643183919,0.0188258944239705,1.5693631151343,0.116563353484221,"z_fog","Negative",1.02998543804209,-0.00735341072934376,0.0664427393661276,0.992673559447248,1.068699767897
-0.0166235260274279,0.0182943944272484,-0.908667739374206,0.363525538042255,"z_mtld","Negative",0.983513882323998,-0.0524798802238049,0.0192328281689492,0.948873411984435,1.01941897044101
0.102400583179308,0.0535524942894817,1.912153384038,0.0558565232621659,"regionAsia","Negative",1.1078271597808,-0.00256037691036291,0.207361543268979,0.99744289805895,1.23042734409792
-0.155960885266851,0.176824091375101,-0.8820115180799,0.377770578620167,"regionAustralia","Negative",0.855592655994938,-0.502529735961068,0.190607965427365,0.604998236421658,1.20998500313358
0.331942703107655,0.0958616456460054,3.46272694225844,0.000534730758379504,"regionEurope","Negative",1.39367299309336,0.144057330142743,0.519828076072566,1.15495032009365,1.68173849375642
0.137127525588103,0.0651732741191243,2.10404536892623,0.0353744896370352,"regionM.America&Carib","Negative",1.14697440778019,0.00939025556006309,0.264864795616143,1.00943448233498,1.30325475810936
0.118891385846173,0.118811605039199,1.00067149001941,0.316985655114217,"regionMid.East","Negative",1.12624758521645,-0.113975080976054,0.351757852668401,0.892280190356806,1.42156425404745
0.18949062860603,0.074228305679137,2.55280821611544,0.0106858317487371,"regionN. America","Negative",1.20863379735288,0.0440058228414912,0.334975434370568,1.04498843967277,1.3979060443588
0.199003766068962,0.0661572745883799,3.00804057160958,0.00262938032598134,"regionOceania","Negative",1.22018656119796,0.0693378905604108,0.328669641577514,1.07179829849934,1.38911887265793
-0.0754785471686969,0.0672865890951687,-1.12174726321677,0.261969914766291,"regionS. America","Negative",0.927299623523008,-0.207357838437773,0.0564007441003792,0.812728772352844,1.05802159470318
0.0494553450241216,0.0191335139082636,2.58474973605148,0.00974497027303699,"z_year","Negative",1.05069867224336,0.0119543468662288,0.0869563431820145,1.01202608564916,1.09084905568005
1.38344038039218,0.537772688461328,2.57253744951324,0.0100956033041266,"feature_typemulticlass","Negative",3.98860035201471,0.329425279138704,2.43745548164567,1.39016893974017,11.443884490086
-0.159967980816309,0.143541293246634,-1.11443875973341,0.265091003031181,"z_feature_desc_length","Negative",0.852171074351547,-0.441303745874015,0.121367784241397,0.643197308370165,1.12904007916578
-1.4488558727403,0.200964724875007,-7.20950342723798,5.61562844584187e-13,"z_feature_base_rate","Negative",0.234838819942732,-1.84273949565832,-1.05497224982229,0.158382941863213,0.348202089842001
0.158905941990082,0.0301289570153048,5.27419325897548,1.33341336886901e-07,"modeldeepseekv31671b:conditionmtp","Negative",1.17222768409212,0.0998542713483297,0.217957612631835,1.10500987474249,1.24353435635334
0.3007834178297,0.0269772588842735,11.1495174183558,7.19957650214474e-29,"modelgpt5nano:conditionmtp","Negative",1.35091672537516,0.247908962014911,0.35365787364449,1.28134327597398,1.42426782355505
4.50751206069431,0.0298161527676198,151.176850206826,0,"modelllama33b:conditionmtp","Negative",90.6958917071374,4.44907347511223,4.56595064627639,85.547645249326,96.1539589848337
0.428340963471743,0.0281754178618212,15.2026481229995,3.39610083863384e-52,"modelclaudesonnet45:conditionmtp","Negative",1.53470927156942,0.373118159213207,0.483563767730279,1.45225592711299,1.62184399062734
-0.0435402547588275,0.0261575186843032,-1.66454071138466,0.0960044223516642,"modelqwen3:conditionmtp","Negative",0.957394013650132,-0.0948080493049952,0.0077275397873402,0.909547505989048,1.0077574742799
0.113218230158841,0.0312964991563016,3.61760047324796,0.000297346917233748,"modeldeepseekv31671b:conditionensemble_mtp","Negative",1.119876297066,0.0518782189703019,0.174558241347381,1.05324746914157,1.19072008950793
4.47398986928173,0.0297481171905055,150.395732295611,0,"modelllama33b:conditionensemble_mtp","Negative",87.705961163133,4.41568463098047,4.532295107583,82.7384668376363,92.971696449781
-0.0726646199197459,0.0284525459479956,-2.55388814950196,0.0106527470770762,"modelqwen3:conditionensemble_mtp","Negative",0.929912651913273,-0.128430585246288,-0.0168986545932035,0.879474608812998,0.98324332678062
