"npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
3,153532.860977064,153562.317019251,-76763.430488532,153526.860977064,NA,NA,NA
18,149499.254597238,149675.990850359,-74731.627298619,149463.254597238,4063.60637982615,15,0
30,149479.633823731,149774.194245598,-74709.8169118653,149419.633823731,43.6207735073694,12,1.77178144823932e-05
33,149435.268780198,149759.285244253,-74684.634390099,149369.268780198,50.3650435326272,3,6.67965591538521e-11
