No.,ritual_number,author,date,ethnography_title,culture,ritual_name
342,Ritual334,A. Silva,1962,The indigenous civilization of the Uaupés,Tukano,Girls Initiation and Defloration
343,Ritual335,S. Hugh-Jones,1979,The palm and the Pleiades: initiation and cosmology in northwest Amazonia,Tukano,Fruit House Ritual
344,Ritual336,S. Hugh-Jones,1979,The palm and the Pleiades: initiation and cosmology in northwest Amazonia,Tukano,Dance at the Fruit House
345,Ritual337,S. Hugh-Jones,1979,The palm and the Pleiades: initiation and cosmology in northwest Amazonia,Tukano,Fruit House as the First Stage of Initiation
346,Ritual338a,C. Hugh-Jones,,From the Milk River: spatial and temporal processes in northwest Amazonia,Tukano,
347,Ritual338b,S. Hugh-Jones,1979,The palm and the Pleiades: initiation and cosmology in northwest Amazonia,Tukano,
348,Ritual339,I. Goldman,1963,The Cubeo: Indians of the Northwest Amazon,Tukano,
349,Ritual340,I. Goldman,1963,The Cubeo: Indians of the Northwest Amazon,Tukano,Concluding Ceremony
350,Ritual341,P. Bohannan,1969,A source book on Tiv religion in 5 volumes,Tiv,Washing Akombo
351,Ritual342,P. Bohannan,1969,A source book on Tiv religion in 5 volumes,Tiv,Repairing Akombo
352,Ritual343,P. Bohannan,1969,A source book on Tiv religion in 5 volumes,Tiv,Ityumbun Wan
353,Ritual344,P. Bohannan,1969,A source book on Tiv religion in 5 volumes,Tiv,Senda Hwav
354,Ritual345,P. Bohannan,1969,A source book on Tiv religion in 5 volumes,Tiv,Funerals
355,Ritual346,R. M. Downes,1971,Tiv religion,Tiv,Akombo Igbe
356,Ritual347,R. M. Downes,1971,Tiv religion,Tiv,The Ceremony for the Establishing of the Ihambe
357,Ritual348,R. M. Downes,1971,Tiv religion,Tiv,Iwo Yangen
358,Ritual349,R. M. Downes,1971,Tiv religion,Tiv,Swende u ombor
359,Ritual350,R. M. Downes,1971,Tiv religion,Tiv,Swende u ndor
360,Ritual351,R. M. Downes,1971,Tiv religion,Tiv,Itembe Mku
361,Ritual352,R. M. Downes,1971,Tiv religion,Tiv,Ikombo Mku (not itimbe mku)
362,Ritual353,R. M. Downes,1971,Tiv religion,Tiv,Akombo Agbande
363,Ritual354,R. M. Downes,1971,Tiv religion,Tiv,The Ingbianjol
364,Ritual355,A. Métraux,1948,The Guarani,Guarani,Boy's Initiation
365,Ritual356,R. K. Reed,1995,Prophets of agroforestry: Guarani communities and commercial gathering,Guarani,Ñembo'é
366,Ritual357,R. K. Reed,1995,Prophets of agroforestry: Guarani communities and commercial gathering,Guarani,Ñembo'é
367,Ritual358,R. K. Reed,1995,Prophets of agroforestry: Guarani communities and commercial gathering,Guarani,Ñimongaraí
368,Ritual359,D. P. Gamble,1991,A Wolof naming ceremony: human interaction and its aesthetic significance,Wolof,The Naming Ceremony
369,Ritual360,D. P. Gamble,1957,The Wolof of Senegambia: together with notes on the Lebu and the Serer,Wolof,Circumcision
370,Ritual361,D. P. Gamble,1957,The Wolof of Senegambia: together with notes on the Lebu and the Serer,Wolof,Circumcision-related
371,Ritual362,D. P. Gamble,1957,The Wolof of Senegambia: together with notes on the Lebu and the Serer,Wolof,Circumcision-related
372,Ritual363,D. P. Gamble,1957,The Wolof of Senegambia: together with notes on the Lebu and the Serer,Wolof,Circumcision-related
373,Ritual364,D. P. Gamble,1957,The Wolof of Senegambia: together with notes on the Lebu and the Serer,Wolof,Taka
374,Ritual365,D. P. Gamble,1957,The Wolof of Senegambia: together with notes on the Lebu and the Serer,Wolof,Mur
375,Ritual366,D. P. Gamble,1957,The Wolof of Senegambia: together with notes on the Lebu and the Serer,Wolof,Funeral
376,Ritual368,C. Vecsey,1983,Traditional Ojibwa religion and its historical changes,Ojibway,Funeral
377,Ritual369,C. Vecsey,1983,Traditional Ojibwa religion and its historical changes,Ojibway,
378,Ritual370,P. Grant,1980,The Saulteux Indians about 1804,Ojibway,Mitewie Ceremony
379,Ritual371,C. Vecsey,1983,Traditional Ojibwa religion and its historical changes,Ojibway,Shaking Tent Ceremony
380,Ritual372,C. Vecsey,1983,Traditional Ojibwa religion and its historical changes,Ojibway,Girls' Menstruation Rite
381,Ritual373,S. K. Lothrop,1928,The Indians of Tierra del Fuego,Ona,Healing Ritual
382,Ritual374,M. Gusinde,1931,The Fireland Indians: Vol. 1. The Selk'nam on the life and thought of a hunting people of the Great Island of Tierra del Fuego,Ona,Procedure at Girls First Menstruation
383,Ritual375,M. Gusinde,1931,The Fireland Indians: Vol. 1. The Selk'nam on the life and thought of a hunting people of the Great Island of Tierra del Fuego,Ona,Sacrifices
384,Ritual376,M. Gusinde,1931,The Fireland Indians: Vol. 1. The Selk'nam on the life and thought of a hunting people of the Great Island of Tierra del Fuego,Ona,Sacrifices
385,Ritual377,M. Gusinde,1931,The Fireland Indians: Vol. 1. The Selk'nam on the life and thought of a hunting people of the Great Island of Tierra del Fuego,Ona,
386,Ritual378,M. Gusinde,1931,The Fireland Indians: Vol. 1. The Selk'nam on the life and thought of a hunting people of the Great Island of Tierra del Fuego,Ona,
387,Ritual379,A. Chapman,1982,Drama and power in a hunting society: the Selk'nam of Tierra del Fuego,Ona,Ritual to Bring Good Weather
388,Ritual380,A. Chapman,1982,Drama and power in a hunting society: the Selk'nam of Tierra del Fuego,Ona,The sham Hain
389,Ritual381,B. S. Spencer,1898,Notes on certain of the initiation ceremonies of the Arunta tribe,Aranda,
390,Ritual382,B. S. Spencer,1898,Notes on certain of the initiation ceremonies of the Arunta tribe,Aranda,
391,Ritual383,B. S. Spencer,1898,Notes on certain of the initiation ceremonies of the Arunta tribe,Aranda,Circumcision or Lartna
392,Ritual384,B. S. Spencer,1898,Notes on certain of the initiation ceremonies of the Arunta tribe,Aranda,
393,Ritual385,B. S. Spencer,1927,The Arunta: a study of a stone age people,Aranda,Urpmilchimilla
394,Ritual386,B. S. Spencer,1927,The Arunta: a study of a stone age people,Aranda,Urpmilchimilla
395,Ritual387,B. S. Spencer,1927,The Arunta: a study of a stone age people,Aranda,Aina-Arilta-Kuma
396,Ritual388,B. S. Spencer,1927,The Arunta: a study of a stone age people,Aranda,Promoting the Growth of the Breasts
397,Ritual389,B. S. Spencer,1927,The Arunta: a study of a stone age people,Aranda,First Menstruation
398,Ritual390,C. M. Turnbull,1962,The forest people,Mbuti,Molimo
399,Ritual391,C. M. Turnbull,1962,The forest people,Mbuti,Elima 
400,Ritual392,C. M. Turnbull,1962,The forest people,Mbuti,"Nkumbo, Boys Initiation"
401,Ritual393,C. M. Turnbull,1965,The Mbuti Pygmies: an ethnographic survey,Mbuti,Abo Lese
402,Ritual394,C. M. Turnbull,1965,The Mbuti Pygmies: an ethnographic survey,Mbuti,Weather Invocation
403,Ritual395,C. M. Turnbull,1965,The Mbuti Pygmies: an ethnographic survey,Mbuti,Food Offering
404,Ritual396,K. Khaleque,1988,"Garo of Bangladesh: religion, ritual and world view",Garo,"Village Festival, Denbilsia"
405,Ritual397,K. Khaleque,1988,"Garo of Bangladesh: religion, ritual and world view",Garo,"Village Festival, Agalmaka"
406,Ritual398,K. Khaleque,1988,"Garo of Bangladesh: religion, ritual and world view",Garo,"Village Festival, Asiroka"
407,Ritual399,K. Khaleque,1988,"Garo of Bangladesh: religion, ritual and world view",Garo,"Village Festival, Miamua"
408,Ritual400,K. Khaleque,1988,"Garo of Bangladesh: religion, ritual and world view",Garo,"Village Festival, Rongchugala"
409,Ritual401,K. Khaleque,1988,"Garo of Bangladesh: religion, ritual and world view",Garo,"Village Festival, Ahaia"
410,Ritual402,K. Khaleque,1988,"Garo of Bangladesh: religion, ritual and world view",Garo,"Village Festival, Wangala"
411,Ritual403a,K. Khaleque,1988,Garo of Bangladesh: religion,Garo,
412,Ritual403b,A. Playfair,1909,The Garos,Garo,
413,Ritual404,A. Playfair,1909,The Garos,Garo,"Preparatory Ceremony, Ja 'Ragata"
414,Ritual405,K. Khaleque,1988,"Garo of Bangladesh: religion, ritual and world view",Garo,Corpse Disposal
415,Ritual406,K. Khaleque,1988,"Garo of Bangladesh: religion, ritual and world view",Garo,Ashes Disposal
416,Ritual407,K. Khaleque,1988,"Garo of Bangladesh: religion, ritual and world view",Garo,Post-Funerary Ceremony
417,Ritual408,A. Playfair,1909,The Garos,Garo,Asongtata Ceremony
418,Ritual409,A. Playfair,1909,The Garos,Garo,Denjaringa Ceremony
419,Ritual410,A. Playfair,1909,The Garos,Garo,Wangala Ceremony
420,Ritual411,A. Playfair,1909,The Garos,Garo,Pongsi-nina
421,Ritual412,A. Playfair,1909,The Garos,Garo,Risal-nina
422,Ritual413,A. Playfair,1909,The Garos,Garo,Birth-related Ceremony
423,Ritual414,A. Playfair,1909,The Garos,Garo,Birth-related Ceremony when birth is prolonged
424,Ritual415,A. Playfair,1909,The Garos,Garo,Birth-related Ceremony
425,Ritual416,A. Playfair,1909,The Garos,Garo,Birth-related Ceremony
426,Ritual417,R. W. Firth,1970,Rank and religion in Tikopia: a study in paganism and conversion to Christianity,Tikopia,Kava
427,Ritual418,R. W. Firth,1940,The work of the gods in Tikopia,Tikopia,Throwing the Firestick
428,Ritual419,R. W. Firth,1940,The work of the gods in Tikopia,Tikopia,
429,Ritual420,R. W. Firth,1940,The work of the gods in Tikopia,Tikopia,A Primitive Communion Feast
430,Ritual421,R. W. Firth,1940,The work of the gods in Tikopia,Tikopia,Ritual Preparations for Planting
431,Ritual422,R. W. Firth,1940,The work of the gods in Tikopia,Tikopia,Sacred Rites of Planting
432,Ritual423,R. W. Firth,1940,The work of the gods in Tikopia,Tikopia,
433,Ritual424,R. W. Firth,1940,The work of the gods in Tikopia,Tikopia,
434,Ritual425,R. W. Firth,1940,The work of the gods in Tikopia,Tikopia,
435,Ritual426,R. W. Firth,1940,The work of the gods in Tikopia,Tikopia,Ritual Extraction of Turmeric
436,Ritual427,R. W. Firth,1940,The work of the gods in Tikopia,Tikopia,Regulations of the Nuanga
437,Ritual428,T. Bringa,1995,Being Muslim the Bosnian way: identity and community in a central Bosnian village,Bosnian Muslims,Annual Dova for Rain
438,Ritual429,T. Bringa,1995,Being Muslim the Bosnian way: identity and community in a central Bosnian village,Bosnian Muslims,Friday Prayer
439,Ritual430,T. Bringa,1995,Being Muslim the Bosnian way: identity and community in a central Bosnian village,Bosnian Muslims,The Tehvid
440,Ritual431a,T. Bringa,1995,Being Muslim the Bosnian way: identity and community in a central Bosnian village,Bosnian Muslims,Mevlud
441,Ritual431b,W. G. Lockwood,1975,European Moslems: economy and ethnicity in western Bosnia,Bosnian Muslims,Mevlud
442,Ritual432a,T. Bringa,1995,Being Muslim the Bosnian way: identity and community in a central Bosnian village,Bosnian Muslims,Private Mevlud
443,Ritual432b,W. G. Lockwood,1975,European Moslems: economy and ethnicity in western Bosnia,Bosnian Muslims,Private Mevlud
444,Ritual433a,T. Bringa,1995,Being Muslim the Bosnian way: identity and community in a central Bosnian village,Bosnian Muslims,Recital and Chanting of Mevlud Poems
445,Ritual433b,W. G. Lockwood,1975,European Moslems: economy and ethnicity in western Bosnia,Bosnian Muslims,Recital and Chanting of Mevlud Poems
446,Ritual434,R. J. Donia,1986,Islam under the double eagle: the Muslims of Bosnia and Herzegovina,Bosnian Muslims,Ramazan
447,Ritual435,W. G. Lockwood,1975,European Moslems: economy and ethnicity in western Bosnia,Bosnian Muslims,
448,Ritual436,T. Bringa,1995,Being Muslim the Bosnian way: identity and community in a central Bosnian village,Bosnian Muslims,
449,Ritual437,B. C. Bennett,1974,Sutivan: a Dalmatian village in social and economic transition,Croats,Sveti Roko
450,Ritual438,B. C. Bennett,1974,Sutivan: a Dalmatian village in social and economic transition,Croats,Return of Statue Procession
451,Ritual439,B. C. Bennett,1974,Sutivan: a Dalmatian village in social and economic transition,Croats,
452,Ritual440,B. C. Bennett,1974,Sutivan: a Dalmatian village in social and economic transition,Croats,Palm Sunday
453,Ritual441,B. C. Bennett,1974,Sutivan: a Dalmatian village in social and economic transition,Croats,Good Friday Mass
454,Ritual442,B. C. Bennett,1974,Sutivan: a Dalmatian village in social and economic transition,Croats,Resurrection of Christ Celebration
455,Ritual443,B. C. Bennett,1974,Sutivan: a Dalmatian village in social and economic transition,Croats,Funeral Procession
456,Ritual444,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe,Garifuna,Indio Bárbaro Procession
457,Ritual445,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe,Garifuna,Palo de Pascua
458,Ritual446,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe,Garifuna,Wanáragua Dance Procession
459,Ritual447,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe,Garifuna,New Year's Eve
460,Ritual448,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Día de los Reyes
461,Ritual449,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Indio Bárbaro Procession
462,Ritual450,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Miércoles Santo
463,Ritual451,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Viernes Santo (Event 1)
464,Ritual452,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Viernes Santo (Event 2)
465,Ritual453,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Viernes Santo (Event 3)
466,Ritual454,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Velada for San Antonio
467,Ritual455,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Moros v Cristianos Dance
468,Ritual456,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Velada for the Virgin del Carmen
469,Ritual457,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Morning Procession for the Virgin del Carmen
470,Ritual458,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Afternoon Procession for the Virgin del Carmen
471,Ritual459,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Velada for San Miguel
472,Ritual460,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Día de San Miguel
473,Ritual461,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Día de los Difuntos
474,Ritual462,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Wake for a Man in Triunfo de la Cruz
475,Ritual463,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,"Wake, Funeral, and Burial for a Santa Fe Man"
476,Ritual464,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Novenas
477,Ritual465,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,Nightly Prayer Sessions During Novena
478,Ritual466,C. C. Bianchi,1989,Gubida illness and religious ritual among the Garifuna of Santa Fe Honduras: an ethnopsychiatric analysis,Garifuna,
479,Ritual467,V. Kerns,1983,Women and the ancestors: Black Carib kinship and ritual,Garifuna,Chugú
480,Ritual468a,R. G. d. A. Coelho,,The Black Carib of Honduras: a study in acculturation,Garifuna,
481,Ritual468b,B. Foster,,Heart drum: spirit possession in the communities of Belize,Garifuna,
482,Ritual468c,D. M. Taylor,,The Black Carib of British Honduras,Garifuna,
483,Ritual469,V. Kerns,1983,Women and the ancestors: Black Carib kinship and ritual,Garifuna,Araíraguni
484,Ritual470,V. Kerns,1983,Women and the ancestors: Black Carib kinship and ritual,Garifuna,Amúidahani
485,Ritual471,V. Kerns,1983,Women and the ancestors: Black Carib kinship and ritual,Garifuna,Requiem Mass
486,Ritual472,D. F. Aberle,1966,The peyote religion among the Navaho,Navajo,Peyote Rituals
487,Ritual473,C. J. Frisbie,1967,Kinaaldá: a study of the Navaho girl's puberty ceremony,Navajo,
488,Ritual474,W. W. W. W. Hill,1935,Navaho rites for dispelling insanity and delirium,Navajo,
489,Ritual475,W. W. W. W. Hill,1935,Navaho rites for dispelling insanity and delirium,Navajo,
490,Ritual476,W. W. W. W. Hill,1935,The hand trembling ceremony of the Navaho,Navajo,Hand Trembling Ritual
491,Ritual477,L. C. Wyman,,The Female Shooting Life Chant: a minor Navaho ceremony,Navajo,
492,Ritual478,F. E. F. E. Williams,1930,Orokaiva society,Orokaiva,Embahi 'Separation' Ceremony
493,Ritual479,F. E. F. E. Williams,1930,Orokaiva society,Orokaiva,Girls' Puberty Seclusion
494,Ritual480,F. E. F. E. Williams,1930,Orokaiva society,Orokaiva,Funeral Proceedings
495,Ritual481,F. E. F. E. Williams,1930,Orokaiva society,Orokaiva,Jage
496,Ritual482,F. E. F. E. Williams,1930,Orokaiva society,Orokaiva,Doru
497,Ritual483,F. E. F. E. Williams,1930,Orokaiva society,Orokaiva,Kasamba
498,Ritual484,F. E. F. E. Williams,1930,Orokaiva society,Orokaiva,Medicine Man
499,Ritual485,F. E. F. E. Williams,1930,Orokaiva society,Orokaiva,Drum-Beating
500,Ritual486,E. W. P. Chinnery,1917,Five new religious cults in British New Guinea,Orokaiva,Kava-Keva Rites
501,Ritual487,E. W. P. Chinnery,1917,Five new religious cults in British New Guinea,Orokaiva,Rites of Kekesi
502,Ritual488,E. W. P. Collocott,1927,Kava ceremonial in Tonga,Tongans,Installation of the King Tu'i Kanokupolu
503,Ritual489,E. W. P. Collocott,1927,Kava ceremonial in Tonga,Tongans,Kava to a Travelling Party
504,Ritual490,E. Beaglehole,1941,Pangai: village in Tonga,Tongans,Kava
505,Ritual491,E. Beaglehole,1941,Pangai: village in Tonga,Tongans,Umbilical Cord Ritual
506,Ritual492,E. Beaglehole,1941,Pangai: village in Tonga,Tongans,Ten-Day Confinement
507,Ritual493,E. Beaglehole,1941,Pangai: village in Tonga,Tongans,Ten-Day Confinement (Father visit)
508,Ritual494,E. Beaglehole,1941,Pangai: village in Tonga,Tongans,Special Kava Ceremony Associated with Wedding
509,Ritual495,E. Beaglehole,1941,Pangai: village in Tonga,Tongans,Burial
510,Ritual496,E. Beaglehole,1941,Pangai: village in Tonga,Tongans,Kava-Circle
511,Ritual497,E. Beaglehole,1941,Pangai: village in Tonga,Tongans,Grave Decorating
512,Ritual498,E. Beaglehole,1941,Pangai: village in Tonga,Tongans,Mourning
513,Ritual499,M. Evans,2001,Persistence of the gift: Tongan tradition in transnational context,Tongans,Feast
514,Ritual500,H. D. Heinen,1974,"Ecology, ritual and economic organization in the distribution of palm starch among the Warao of the Orinoco Delta",Warao,Nahanamu
515,Ritual501,H. D. Heinen,1974,"Ecology, ritual and economic organization in the distribution of palm starch among the Warao of the Orinoco Delta",Warao,Habi Sanuka
516,Ritual502,M. M. Suárez,1968,The Warao: natives of the Orinoco Delta,Warao,"Initiation as Wisidatu, Shaman"
517,Ritual503,M. M. Suárez,1968,The Warao: natives of the Orinoco Delta,Warao,Wisidatu Treatment
518,Ritual504,J. Wilbert,1972,The fishermen: the Warao of the Orinoco Delta,Warao,Girls' Puberty Ceremony
519,Ritual505,H. Massé,1954,Persian beliefs and customs,Iran,Wedding; Preliminary Ceremonies
520,Ritual506,H. Massé,1954,Persian beliefs and customs,Iran,Post-Funeral Ceremonies
521,Ritual507,H. Massé,1954,Persian beliefs and customs,Iran,Sacrifice of the Camel
522,Ritual508,B. A. Donaldson,1938,The wild rue: a study of Muhammadan magic and folklore in Iran,Iran,The Sacrifice for the Sick
523,Ritual509,H. Massé,1954,Persian beliefs and customs,Iran,
524,Ritual510,H. Massé,1954,Persian beliefs and customs,Iran,The Procession of the Tenth Day (Achoura)
525,Ritual511,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,Adoption
526,Ritual512,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,First Vows
527,Ritual513,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,
528,Ritual514,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,Honouring the Five Chief Spirits
529,Ritual515,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,Om Mani Rite
530,Ritual516,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,Om Mani Rite (Second)
531,Ritual517,D. Schröder,1952-1953,On the religion of the Tujen of the Sining Region (Koko Nor),Mongor,The Age-Blessing
532,Ritual518,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,Rites Concerning the Guardian Spirits of the Wealth of the Family
533,Ritual519,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,Rite of the White Tiger
534,Ritual520,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,Procession with Sacred Books
535,Ritual521,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,Rite of the Sacred Animal of the Community
536,Ritual522,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,"Shamanist Rites of Spring, First Day"
537,Ritual523,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,"Shamanist Rites of Spring, Possession by the White Tiger (Second Day)"
538,Ritual524,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,"Shamanist Rites of Spring, Greeting of the Goddess of Joy (Second Day)"
539,Ritual525,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,"Shamanist Rites of Spring, Leave-Taking of the Spirits (Second Day)"
540,Ritual526,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,"Shamanist Rites of Spring, Nurturing of the Gods of the Temple (Second Day)"
541,Ritual527a,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,
542,Ritual527b,D. Schröder,1952-1953,On the religion of the Tujen of the Sining Region (Koko Nor),Mongor,
543,Ritual528,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,Thanksgiving Rite
544,Ritual529,L. Schram,1957,The Monguors of the Kansu-Tibetan frontier: Part II. their religious life,Mongor,Spirits Expelled from the Villages
545,Ritual530,D. Schröder,1952-1953,On the religion of the Tujen of the Sining Region (Koko Nor),Mongor,Name-Giving
546,Ritual531,D. Schröder,1952-1953,On the religion of the Tujen of the Sining Region (Koko Nor),Mongor,New Year's Morning
547,Ritual532,D. Schröder,1952-1953,On the religion of the Tujen of the Sining Region (Koko Nor),Mongor,Fire-Pouring
548,Ritual533,D. Schröder,1952-1953,On the religion of the Tujen of the Sining Region (Koko Nor),Mongor,The Sowing and Harvest Thanksgiving Festivals
549,Ritual534,D. Schröder,1952-1953,On the religion of the Tujen of the Sining Region (Koko Nor),Mongor,The Animal Consecration
550,Ritual535,D. Schröder,1952-1953,On the religion of the Tujen of the Sining Region (Koko Nor),Mongor,The Washing of the Sick
551,Ritual536,D. Schröder,1952-1953,On the religion of the Tujen of the Sining Region (Koko Nor),Mongor,The House Purification
552,Ritual537,L. Schram,1932,Marriage among the T'u-jen of Kansu (China),Mongor,Marriage Ceremony
553,Ritual538,C. Achebe,1986,The world of the Ogbanje,Igbo,Healing Ritual
554,Ritual539,C. Achebe,1986,The world of the Ogbanje,Igbo,Ogbanje Devotee's Initiation
555,Ritual540,C. Achebe,1986,The world of the Ogbanje,Igbo,Water Spouse
556,Ritual541,G. T. Basden,,Among the Ibos of Nigeria: an account of the curious and interesting habits,Igbo,
557,Ritual542,G. T. Basden,,Among the Ibos of Nigeria: an account of the curious and interesting habits,Igbo,
558,Ritual543,G. T. Basden,1966,Niger Ibos: a description of the primitive life,Igbo,Purification
559,Ritual544,R. N. Henderson,1972,The king in every man: evolutionary trends in Onitsha Ibo society and culture,Igbo,Begging the Dead
560,Ritual545,R. N. Henderson,1972,The king in every man: evolutionary trends in Onitsha Ibo society and culture,Igbo,Offering of Kola Nuts
561,Ritual546,R. N. Henderson,1972,The king in every man: evolutionary trends in Onitsha Ibo society and culture,Igbo,Sacrifice
562,Ritual547,R. N. Henderson,1972,The king in every man: evolutionary trends in Onitsha Ibo society and culture,Igbo,
563,Ritual548,R. N. Henderson,1972,The king in every man: evolutionary trends in Onitsha Ibo society and culture,Igbo,
564,Ritual549,R. N. Henderson,1972,The king in every man: evolutionary trends in Onitsha Ibo society and culture,Igbo,
565,Ritual550,R. N. Henderson,1972,The king in every man: evolutionary trends in Onitsha Ibo society and culture,Igbo,
566,Ritual551,R. N. Henderson,1972,The king in every man: evolutionary trends in Onitsha Ibo society and culture,Igbo,
567,Ritual552,R. N. Henderson,1972,The king in every man: evolutionary trends in Onitsha Ibo society and culture,Igbo,The New Yam Festival of Young Men of Isele-Awada
568,Ritual553,R. N. Henderson,1972,The king in every man: evolutionary trends in Onitsha Ibo society and culture,Igbo,Killers' Feast
569,Ritual554,R. N. Henderson,1972,The king in every man: evolutionary trends in Onitsha Ibo society and culture,Igbo,King's Annual Emergence
570,Ritual555,J. H. M. Beattie,1961,Nyoro mortuary rites,Banyoro,"Feast, Mortuary Rite"
571,Ritual556,J. Nyakatura,1970,Aspects of Bunyoro custom and tradition,Banyoro,Sweeping Out the house for the Baby Ceremony
572,Ritual557,J. Nyakatura,1970,Aspects of Bunyoro custom and tradition,Banyoro,Making the Child Sit Up
573,Ritual558,J. Nyakatura,1970,Aspects of Bunyoro custom and tradition,Banyoro,Blood Brotherhood
574,Ritual559,J. Nyakatura,1970,Aspects of Bunyoro custom and tradition,Banyoro,Blood Brotherhood
575,Ritual560,J. Nyakatura,1970,Aspects of Bunyoro custom and tradition,Banyoro,
576,Ritual561,J. Nyakatura,1970,Aspects of Bunyoro custom and tradition,Banyoro,Spirit Possession Ceremony
577,Ritual562,J. Nyakatura,1970,Aspects of Bunyoro custom and tradition,Banyoro,Initiation Feast
578,Ritual563,J. Roscoe,1923,The Bakitara or Bunyoro: the first part of the report of the Mackie Ethnological Expedition to Central Africa,Banyoro,
579,Ritual564,J. Roscoe,1923,The Bakitara or Bunyoro: the first part of the report of the Mackie Ethnological Expedition to Central Africa,Banyoro,
580,Ritual565,J. Roscoe,1923,The Bakitara or Bunyoro: the first part of the report of the Mackie Ethnological Expedition to Central Africa,Banyoro,Ceremonies of the Tomb
581,Ritual566,E. M. Loeb,,Mentawei religious cult and Nooy-Palm,Mentawaians,
582,Ritual567,C. H. M. Nooy-Palm,1968,The culture of the Pagai Islands and Sipora Mentawei,Mentawaians,"Punèn Puénégètat, The Initiation of New Members of the Uma"
583,Ritual568,C. H. M. Nooy-Palm,1968,Mentawei social organization,Mentawaians,Big Punen
584,Ritual569,E. M. Loeb,1928,Mentawei social organization,Mentawaians,"Small Punen, or Lia"
