No.,ritual_number,author,date,ethnography_title,culture,ritual_name
169,Ritual165,R. Karsten,1932,Indian tribes of the Argentine and Bolivian Chaco: ethnological studies,Mataco,Girls Initiation
170,Ritual166,R. Karsten,1932,Indian tribes of the Argentine and Bolivian Chaco: ethnological studies,Mataco,Magical Ceremony to Cure Sickness
171,Ritual167,R. Karsten,1932,Indian tribes of the Argentine and Bolivian Chaco: ethnological studies,Mataco,"Purification Ceremony, koyadanattí"
172,Ritual168,F. E. Besmer,1983,Musicians and gods: the Hausa cult of possession-trance,Hausa,Girka
173,Ritual169,F. E. Besmer,1983,Musicians and gods: the Hausa cult of possession-trance,Hausa,Periodic Possession-Trance Ceremonies
174,Ritual170,R. F. Barton,1946,The religion of the Ifugao,Ifagao,"Divination Rite, Agba"
175,Ritual171,R. F. Barton,1946,The religion of the Ifugao,Ifagao,Hunting Ritual
176,Ritual172,R. F. Barton,1946,The religion of the Ifugao,Ifagao,Rice Ritual
177,Ritual173,R. F. Barton,1946,The religion of the Ifugao,Ifagao,Ponga Marriage Ritual
178,Ritual174,H. O. H. O. Beyer,1911,An Ifugao burial ceremony,Ifagao,Vengeance Ceremony
179,Ritual175,R. F. Barton,1946,The religion of the Ifugao,Ifagao,General Ritual Elements
180,Ritual176,F. Lambrecht,1932,The Mayawyaw ritual: parts 1-5,Ifagao,First Day
181,Ritual177,F. Lambrecht,1932,The Mayawyaw ritual: parts 1-5,Ifagao,Second Day of the Ipad
182,Ritual178,F. Lambrecht,1932,The Mayawyaw ritual,Ifagao,"Third Day of the Ipad. Punhicha′an, the Banquet (A) The Chalo′ng Rite"
183,Ritual179,F. Lambrecht,1932,The Mayawyaw ritual: parts 1-5,Ifagao,"Third Day of the Ipad. Punhicha′an, the Banquet (B) The Lo′glog Rite"
184,Ritual180,F. Lambrecht,1932,The Mayawyaw ritual: parts 1-5,Ifagao,"Third Day of the Ipad. Punhicha′an, the Banquet (C) The Great Sacrifice of the l′pad"
185,Ritual181,F. Lambrecht,1932,The Mayawyaw ritual: parts 1-5,Ifagao,Fourth Day of the I′pad
186,Ritual182,F. Lambrecht,1932,The Mayawyaw ritual: parts 1-5,Ifagao,Fifth Day of the I′pad: The Ala′wit Sacrifice
187,Ritual183,F. Lambrecht,1932,The Mayawyaw ritual: parts 1-5,Ifagao,The simple Pa′hang
188,Ritual184,V. W. Turner,1952,The Lozi peoples of north-western Rhodesia,Lozi,Initiation
189,Ritual185,V. W. Turner,1952,The Lozi peoples of north-western Rhodesia,Lozi,Exorcism
190,Ritual186,B. Malinowski,,Coral gardens and their magic: a study of the methods of tilling the soil and of agricultural rites in the Trobriand Islands. Vol. one,Trobrianders,"First Grand Inaugural Act, Ceremony"
191,Ritual187,B. Malinowski,,Coral gardens and their magic: a study of the methods of tilling the soil and of agricultural rites in the Trobriand Islands. Vol. one,Trobrianders,"First Grand Inaugural Act, Charming of the Axes"
192,Ritual188,B. Malinowski,,Coral gardens and their magic: a study of the methods of tilling the soil and of agricultural rites in the Trobriand Islands. Vol. one,Trobrianders,"First Grand Inaugural Act, Procession to Gardens"
193,Ritual189,B. Malinowski,,Coral gardens and their magic: a study of the methods of tilling the soil and of agricultural rites in the Trobriand Islands. Vol. one,Trobrianders,"Second Grand Inaugural Act, Days 1 and 2"
194,Ritual190,B. Malinowski,,Coral gardens and their magic: a study of the methods of tilling the soil and of agricultural rites in the Trobriand Islands. Vol. one,Trobrianders,"Second Grand Inaugural Act, Day 3"
195,Ritual191,B. Malinowski,,Coral gardens and their magic: a study of the methods of tilling the soil and of agricultural rites in the Trobriand Islands. Vol. one,Trobrianders,"Second Grand Inaugural Act, Day 4"
196,Ritual192,S. A. Campbell,1989,Vakutan mortuary cycle,Trobrianders,"Funeral, Phase 1"
197,Ritual193,S. A. Campbell,1989,Vakutan mortuary cycle,Trobrianders,"Funeral, Phase 2"
198,Ritual194,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Mampapotanoana
199,Ritual195,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Momparilangka
200,Ritual196,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Incision of the Penis
201,Ritual197,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Funeral 1
202,Ritual198,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Funeral 2
203,Ritual199,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Tandojae
204,Ritual200,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Second Burial
205,Ritual201,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Moandu sala
206,Ritual202,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Morambu langi
207,Ritual203,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Mowase
208,Ritual204,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Mombakati
209,Ritual205,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Molanggo
210,Ritual206,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Harvest
211,Ritual207,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Molinga
212,Ritual208,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,Mopasangke
213,Ritual209,R. E. Downs,1956,The religion of the Bare-'e-speaking Toradja of central Celebes,Toradja,"Mpadungku, Harvest Feast"
214,Ritual210,C. McClellan,1954,The interrelations of social structure with northern Tlingit ceremonialism,Tlingit,Potlatch
215,Ritual211,C. McClellan,1954,The interrelations of social structure with northern Tlingit ceremonialism,Tlingit,
216,Ritual212,C. McClellan,1954,The interrelations of social structure with northern Tlingit ceremonialism,Tlingit,
217,Ritual213,C. McClellan,1954,The interrelations of social structure with northern Tlingit ceremonialism,Tlingit,
218,Ritual214,G. T. Emmons,1991,The Tlingit Indians,Tlingit,Dedication of the House
219,Ritual215,G. T. Emmons,1991,The Tlingit Indians,Tlingit,"Dedication of the House, Smoking Feast"
220,Ritual216,G. T. Emmons,1991,The Tlingit Indians,Tlingit,"Dedication of the House, Meeting, Ut-keh-yes-ko-eek"
221,Ritual217,G. T. Emmons,1991,The Tlingit Indians,Tlingit,Minor Potlatch
222,Ritual218,G. T. Emmons,1991,The Tlingit Indians,Tlingit,Major Potlatch
223,Ritual219,G. T. Emmons,1991,The Tlingit Indians,Tlingit,Ceremony for the Children
224,Ritual220,A. R. A. R. Radcliffe-Brown,1922,The Andaman islanders: a study in social anthropology,Andamans,Girls Initiation
225,Ritual221,A. R. A. R. Radcliffe-Brown,1922,The Andaman islanders: a study in social anthropology,Andamans,Boys Initiation
226,Ritual222,A. R. A. R. Radcliffe-Brown,1922,The Andaman islanders: a study in social anthropology,Andamans,"Ceremony to Release Youth from Turtle-Eating Restriction, Part 1"
227,Ritual223,A. R. A. R. Radcliffe-Brown,1922,The Andaman islanders: a study in social anthropology,Andamans,"Ceremony to Release Youth from Turtle-Eating Restriction, Part 2"
228,Ritual224,A. R. A. R. Radcliffe-Brown,1922,The Andaman islanders: a study in social anthropology,Andamans,The Shedding of Tears
229,Ritual225,A. R. A. R. Radcliffe-Brown,1922,The Andaman islanders: a study in social anthropology,Andamans,Weather rite
230,Ritual226,R. Cohen,1967,The Kanuri of Bornu,Kanuri,Naming Ceremony
231,Ritual227,R. Cohen,1967,The Kanuri of Bornu,Kanuri,Death Ceremony
232,Ritual228,A. Rosman,1966,Social structure and acculturation among the Kanuri of northern Nigeria,Kanuri,"Ngumri Ashembe, End of Ramadan"
233,Ritual229,A. Rosman,1966,Social structure and acculturation among the Kanuri of northern Nigeria,Kanuri,Ngumri Laya (or Salla Laya)
234,Ritual230,A. Rosman,1966,Social structure and acculturation among the Kanuri of northern Nigeria,Kanuri,Wedding
235,Ritual231,I. Sjorslev,1987,Untimely gods and French perfume: ritual,Bahia Brazilians,Candomblé Possession Cult
236,Ritual231,H. W. Hutchinson,1922,Village and plantation life in northeastern Brazil,Bahia Brazilians,Candomblé Possession Cult
236,Ritual232,H. W. Hutchinson,1922,Village and plantation life in northeastern Brazil,Bahia Brazilians,Festivals
237,Ritual233,J. R. Murie,1989,Ceremonies of the Pawnee,Pawnee,Corn Offering Ritual
238,Ritual234,J. R. Murie,1989,Ceremonies of the Pawnee,Pawnee,Meat Offering Ritual
239,Ritual235,J. R. Murie,1989,Ceremonies of the Pawnee,Pawnee,Thunger or Bundle Renewal Ceremony
240,Ritual236,J. R. Murie,1989,Ceremonies of the Pawnee,Pawnee,The Corn Planting Ceremony
241,Ritual237,J. R. Murie,1989,Ceremonies of the Pawnee,Pawnee,Young Corn Plant Ritual
242,Ritual238,J. R. Murie,1989,Ceremonies of the Pawnee,Pawnee,Great Washing Ceremony
243,Ritual239,J. R. Murie,1989,Ceremonies of the Pawnee,Pawnee,Human Sacrifice to the Morning Star
244,Ritual240,J. R. Murie,1989,Ceremonies of the Pawnee,Pawnee,The Smoke Offering
