"Model","AIC","BIC","Stratum"
"M0_RandomOnly",685658.547710083,685693.077082422,"Negative"
"M1_Model",521762.100790097,521969.277024134,"Negative"
"M2_Model_Text",521224.500028193,521569.793751588,"Negative"
"M3_Model_Text_Task",521171.959019265,521551.782114999,"Negative"
