"npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
3,685658.547710083,685693.077082422,-342826.273855041,685652.547710083,NA,NA,NA
18,521762.100790097,521969.277024134,-260863.050395048,521726.100790097,163926.446919986,15,0
30,521224.500028193,521569.793751588,-260582.250014097,521164.500028193,561.600761903392,12,1.66159718045713e-112
33,521171.959019265,521551.782114999,-260552.979509633,521105.959019265,58.5410089282086,3,1.20472760378845e-12
